Franchise,Country,Creation Date,Revenue (Billion USD),Number of Platforms,Month,Interest Value
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-06-01,0
Frozen,US,2013,13.9,107,2008-06-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-06-01,0
Gran Turismo,Japan,1997,4.1,52,2008-06-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-06-01,13
Gundam,Japan,1979,5.0,17,2008-06-01,0
Hamtaro,Japan,1997,3.02,3,2008-06-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-06-01,2
Hello Kitty,Japan,1974,33.5,7,2008-06-01,1
James Bond,US,1953,9.75,135,2008-06-01,1
Jurassic Park,US,1990,10.1,106,2008-06-01,0
Kumamon,Japan,2010,2.36,,2008-06-01,0
Looney Tunes,US,1930,17.46,80,2008-06-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-06-01,1
Monster Strike,Japan,2013,10.0,34,2008-06-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-06-01,0
Paw Patrol,US,2013,15.4,95,2008-06-01,0
Pac-Man,Japan,1980,15.43,8,2008-06-01,2
Peanuts,US,1950,14.4,51,2008-06-01,0
Power Rangers,Japan,1975,8.67,61,2008-06-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-06-01,1
Rilakkuma,Japan,2003,10.0,,2008-06-01,0
Sailor Moon,Japan,1991,2.5,16,2008-06-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-06-01,2
Space Invaders,Japan,1978,13.9,46,2008-06-01,0
Spider-Man,US,1962,26.8,107,2008-06-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-06-01,2
Star Trek,US,1966,11.2,106,2008-06-01,0
Star Wars,US,1977,46.7,60,2008-06-01,2
Street Fighter,Japan,1987,10.7,103,2008-06-01,1
Super Mario,Japan,1981,8.75,93,2008-06-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-06-01,0
Avengers,US,1963,14.3,78,2008-06-01,0
The Lion King,US,1994,15.9,63,2008-06-01,1
Toy Story,US,1995,14.8,40,2008-06-01,0
Ultraman,Japan,1966,7.4,49,2008-06-01,0
Warcraft,US,1994,12.4,51,2008-06-01,20
Yo-kai Watch,Japan,2013,2.09,18,2008-06-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-06-01,0
Angry Birds,US,2009,9.54,76,2008-07-01,0
Anpanman,Japan,1973,38.4,13,2008-07-01,0
Astro Boy,Japan,1952,3.0,32,2008-07-01,0
Barbie,US,1987,36.3,73,2008-07-01,8
Beyblade,Japan,1999,4.6,1,2008-07-01,0
Batman,US,1939,29.9,117,2008-07-01,5
Call Of Duty,US,2003,31.0,28,2008-07-01,3
Candy Crush,US,2012,20.0,0,2008-07-01,0
Cars,US,2006,21.5,89,2008-07-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-07-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-07-01,0
Disney Princess,US,2000,45.4,247,2008-07-01,0
Dora The Explorer,US,2000,15.8,67,2008-07-01,0
Dragon Ball,Japan,1984,10.7,50,2008-07-01,6
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-07-01,0
Frozen,US,2013,13.9,107,2008-07-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-07-01,0
Gran Turismo,Japan,1997,4.1,52,2008-07-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-07-01,11
Gundam,Japan,1979,5.0,17,2008-07-01,0
Hamtaro,Japan,1997,3.02,3,2008-07-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-07-01,3
Hello Kitty,Japan,1974,33.5,7,2008-07-01,1
James Bond,US,1953,9.75,135,2008-07-01,1
Jurassic Park,US,1990,10.1,106,2008-07-01,0
Kumamon,Japan,2010,2.36,,2008-07-01,0
Looney Tunes,US,1930,17.46,80,2008-07-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-07-01,1
Monster Strike,Japan,2013,10.0,34,2008-07-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-07-01,0
Paw Patrol,US,2013,15.4,95,2008-07-01,0
Pac-Man,Japan,1980,15.43,8,2008-07-01,2
Peanuts,US,1950,14.4,51,2008-07-01,0
Power Rangers,Japan,1975,8.67,61,2008-07-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-07-01,2
Rilakkuma,Japan,2003,10.0,,2008-07-01,0
Sailor Moon,Japan,1991,2.5,16,2008-07-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-07-01,2
Space Invaders,Japan,1978,13.9,46,2008-07-01,0
Spider-Man,US,1962,26.8,107,2008-07-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-07-01,2
Star Trek,US,1966,11.2,106,2008-07-01,0
Star Wars,US,1977,46.7,60,2008-07-01,2
Street Fighter,Japan,1987,10.7,103,2008-07-01,1
Super Mario,Japan,1981,8.75,93,2008-07-01,9
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-07-01,0
Avengers,US,1963,14.3,78,2008-07-01,0
The Lion King,US,1994,15.9,63,2008-07-01,1
Toy Story,US,1995,14.8,40,2008-07-01,0
Ultraman,Japan,1966,7.4,49,2008-07-01,0
Warcraft,US,1994,12.4,51,2008-07-01,21
Yo-kai Watch,Japan,2013,2.09,18,2008-07-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-07-01,0
Angry Birds,US,2009,9.54,76,2008-08-01,0
Anpanman,Japan,1973,38.4,13,2008-08-01,0
Astro Boy,Japan,1952,3.0,32,2008-08-01,0
Barbie,US,1987,36.3,73,2008-08-01,8
Beyblade,Japan,1999,4.6,1,2008-08-01,0
Batman,US,1939,29.9,117,2008-08-01,4
Call Of Duty,US,2003,31.0,28,2008-08-01,3
Candy Crush,US,2012,20.0,0,2008-08-01,0
Cars,US,2006,21.5,89,2008-08-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-08-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-08-01,0
Disney Princess,US,2000,45.4,247,2008-08-01,0
Dora The Explorer,US,2000,15.8,67,2008-08-01,0
Dragon Ball,Japan,1984,10.7,50,2008-08-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-08-01,0
Frozen,US,2013,13.9,107,2008-08-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-08-01,0
Gran Turismo,Japan,1997,4.1,52,2008-08-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-08-01,11
Gundam,Japan,1979,5.0,17,2008-08-01,0
Hamtaro,Japan,1997,3.02,3,2008-08-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-08-01,3
Hello Kitty,Japan,1974,33.5,7,2008-08-01,1
James Bond,US,1953,9.75,135,2008-08-01,1
Jurassic Park,US,1990,10.1,106,2008-08-01,0
Kumamon,Japan,2010,2.36,,2008-08-01,0
Looney Tunes,US,1930,17.46,80,2008-08-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-08-01,0
Monster Strike,Japan,2013,10.0,34,2008-08-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-08-01,0
Paw Patrol,US,2013,15.4,95,2008-08-01,0
Pac-Man,Japan,1980,15.43,8,2008-08-01,1
Peanuts,US,1950,14.4,51,2008-08-01,0
Power Rangers,Japan,1975,8.67,61,2008-08-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-08-01,2
Rilakkuma,Japan,2003,10.0,,2008-08-01,0
Sailor Moon,Japan,1991,2.5,16,2008-08-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-08-01,2
Space Invaders,Japan,1978,13.9,46,2008-08-01,0
Spider-Man,US,1962,26.8,107,2008-08-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-08-01,2
Star Trek,US,1966,11.2,106,2008-08-01,1
Star Wars,US,1977,46.7,60,2008-08-01,3
Street Fighter,Japan,1987,10.7,103,2008-08-01,1
Super Mario,Japan,1981,8.75,93,2008-08-01,9
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-08-01,0
Avengers,US,1963,14.3,78,2008-08-01,0
The Lion King,US,1994,15.9,63,2008-08-01,1
Toy Story,US,1995,14.8,40,2008-08-01,0
Ultraman,Japan,1966,7.4,49,2008-08-01,0
Warcraft,US,1994,12.4,51,2008-08-01,20
Yo-kai Watch,Japan,2013,2.09,18,2008-08-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-08-01,0
Angry Birds,US,2009,9.54,76,2008-09-01,0
Anpanman,Japan,1973,38.4,13,2008-09-01,0
Astro Boy,Japan,1952,3.0,32,2008-09-01,0
Barbie,US,1987,36.3,73,2008-09-01,8
Beyblade,Japan,1999,4.6,1,2008-09-01,0
Batman,US,1939,29.9,117,2008-09-01,2
Call Of Duty,US,2003,31.0,28,2008-09-01,3
Candy Crush,US,2012,20.0,0,2008-09-01,0
Cars,US,2006,21.5,89,2008-09-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-09-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-09-01,0
Disney Princess,US,2000,45.4,247,2008-09-01,0
Dora The Explorer,US,2000,15.8,67,2008-09-01,0
Dragon Ball,Japan,1984,10.7,50,2008-09-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-09-01,0
Frozen,US,2013,13.9,107,2008-09-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-09-01,0
Gran Turismo,Japan,1997,4.1,52,2008-09-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-09-01,9
Gundam,Japan,1979,5.0,17,2008-09-01,0
Hamtaro,Japan,1997,3.02,3,2008-09-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-09-01,2
Hello Kitty,Japan,1974,33.5,7,2008-09-01,1
James Bond,US,1953,9.75,135,2008-09-01,1
Jurassic Park,US,1990,10.1,106,2008-09-01,0
Kumamon,Japan,2010,2.36,,2008-09-01,0
Looney Tunes,US,1930,17.46,80,2008-09-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-09-01,0
Monster Strike,Japan,2013,10.0,34,2008-09-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-09-01,0
Paw Patrol,US,2013,15.4,95,2008-09-01,0
Pac-Man,Japan,1980,15.43,8,2008-09-01,1
Peanuts,US,1950,14.4,51,2008-09-01,0
Power Rangers,Japan,1975,8.67,61,2008-09-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-09-01,1
Rilakkuma,Japan,2003,10.0,,2008-09-01,0
Sailor Moon,Japan,1991,2.5,16,2008-09-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-09-01,2
Space Invaders,Japan,1978,13.9,46,2008-09-01,0
Spider-Man,US,1962,26.8,107,2008-09-01,1
Spongebob Squarepants,US,1999,16.6,83,2008-09-01,2
Star Trek,US,1966,11.2,106,2008-09-01,0
Star Wars,US,1977,46.7,60,2008-09-01,3
Street Fighter,Japan,1987,10.7,103,2008-09-01,1
Super Mario,Japan,1981,8.75,93,2008-09-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-09-01,0
Avengers,US,1963,14.3,78,2008-09-01,0
The Lion King,US,1994,15.9,63,2008-09-01,1
Toy Story,US,1995,14.8,40,2008-09-01,0
Ultraman,Japan,1966,7.4,49,2008-09-01,0
Warcraft,US,1994,12.4,51,2008-09-01,17
Yo-kai Watch,Japan,2013,2.09,18,2008-09-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-09-01,0
Angry Birds,US,2009,9.54,76,2008-10-01,0
Anpanman,Japan,1973,38.4,13,2008-10-01,0
Astro Boy,Japan,1952,3.0,32,2008-10-01,0
Barbie,US,1987,36.3,73,2008-10-01,8
Beyblade,Japan,1999,4.6,1,2008-10-01,0
Batman,US,1939,29.9,117,2008-10-01,2
Call Of Duty,US,2003,31.0,28,2008-10-01,4
Candy Crush,US,2012,20.0,0,2008-10-01,0
Cars,US,2006,21.5,89,2008-10-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-10-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-10-01,0
Disney Princess,US,2000,45.4,247,2008-10-01,0
Dora The Explorer,US,2000,15.8,67,2008-10-01,0
Dragon Ball,Japan,1984,10.7,50,2008-10-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-10-01,0
Frozen,US,2013,13.9,107,2008-10-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-10-01,0
Gran Turismo,Japan,1997,4.1,52,2008-10-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-10-01,9
Gundam,Japan,1979,5.0,17,2008-10-01,0
Hamtaro,Japan,1997,3.02,3,2008-10-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-10-01,2
Hello Kitty,Japan,1974,33.5,7,2008-10-01,1
James Bond,US,1953,9.75,135,2008-10-01,1
Jurassic Park,US,1990,10.1,106,2008-10-01,0
Kumamon,Japan,2010,2.36,,2008-10-01,0
Looney Tunes,US,1930,17.46,80,2008-10-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-10-01,0
Monster Strike,Japan,2013,10.0,34,2008-10-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-10-01,0
Paw Patrol,US,2013,15.4,95,2008-10-01,0
Pac-Man,Japan,1980,15.43,8,2008-10-01,2
Peanuts,US,1950,14.4,51,2008-10-01,0
Power Rangers,Japan,1975,8.67,61,2008-10-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-10-01,1
Rilakkuma,Japan,2003,10.0,,2008-10-01,0
Sailor Moon,Japan,1991,2.5,16,2008-10-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-10-01,2
Space Invaders,Japan,1978,13.9,46,2008-10-01,0
Spider-Man,US,1962,26.8,107,2008-10-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-10-01,2
Star Trek,US,1966,11.2,106,2008-10-01,0
Star Wars,US,1977,46.7,60,2008-10-01,3
Street Fighter,Japan,1987,10.7,103,2008-10-01,1
Super Mario,Japan,1981,8.75,93,2008-10-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-10-01,0
Avengers,US,1963,14.3,78,2008-10-01,0
The Lion King,US,1994,15.9,63,2008-10-01,1
Toy Story,US,1995,14.8,40,2008-10-01,0
Ultraman,Japan,1966,7.4,49,2008-10-01,0
Warcraft,US,1994,12.4,51,2008-10-01,20
Yo-kai Watch,Japan,2013,2.09,18,2008-10-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-10-01,0
Angry Birds,US,2009,9.54,76,2008-11-01,0
Anpanman,Japan,1973,38.4,13,2008-11-01,0
Astro Boy,Japan,1952,3.0,32,2008-11-01,0
Barbie,US,1987,36.3,73,2008-11-01,8
Beyblade,Japan,1999,4.6,1,2008-11-01,0
Batman,US,1939,29.9,117,2008-11-01,2
Call Of Duty,US,2003,31.0,28,2008-11-01,8
Candy Crush,US,2012,20.0,0,2008-11-01,0
Cars,US,2006,21.5,89,2008-11-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-11-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-11-01,0
Disney Princess,US,2000,45.4,247,2008-11-01,0
Dora The Explorer,US,2000,15.8,67,2008-11-01,0
Dragon Ball,Japan,1984,10.7,50,2008-11-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-11-01,0
Frozen,US,2013,13.9,107,2008-11-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-11-01,0
Gran Turismo,Japan,1997,4.1,52,2008-11-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-11-01,9
Gundam,Japan,1979,5.0,17,2008-11-01,0
Hamtaro,Japan,1997,3.02,3,2008-11-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-11-01,2
Hello Kitty,Japan,1974,33.5,7,2008-11-01,1
James Bond,US,1953,9.75,135,2008-11-01,3
Jurassic Park,US,1990,10.1,106,2008-11-01,0
Kumamon,Japan,2010,2.36,,2008-11-01,0
Looney Tunes,US,1930,17.46,80,2008-11-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-11-01,0
Monster Strike,Japan,2013,10.0,34,2008-11-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-11-01,0
Paw Patrol,US,2013,15.4,95,2008-11-01,0
Pac-Man,Japan,1980,15.43,8,2008-11-01,2
Peanuts,US,1950,14.4,51,2008-11-01,0
Power Rangers,Japan,1975,8.67,61,2008-11-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-11-01,1
Rilakkuma,Japan,2003,10.0,,2008-11-01,0
Sailor Moon,Japan,1991,2.5,16,2008-11-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-11-01,2
Space Invaders,Japan,1978,13.9,46,2008-11-01,0
Spider-Man,US,1962,26.8,107,2008-11-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-11-01,2
Star Trek,US,1966,11.2,106,2008-11-01,1
Star Wars,US,1977,46.7,60,2008-11-01,3
Street Fighter,Japan,1987,10.7,103,2008-11-01,1
Super Mario,Japan,1981,8.75,93,2008-11-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-11-01,0
Avengers,US,1963,14.3,78,2008-11-01,0
The Lion King,US,1994,15.9,63,2008-11-01,1
Toy Story,US,1995,14.8,40,2008-11-01,0
Ultraman,Japan,1966,7.4,49,2008-11-01,0
Warcraft,US,1994,12.4,51,2008-11-01,21
Yo-kai Watch,Japan,2013,2.09,18,2008-11-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-11-01,0
Angry Birds,US,2009,9.54,76,2008-12-01,0
Anpanman,Japan,1973,38.4,13,2008-12-01,0
Astro Boy,Japan,1952,3.0,32,2008-12-01,0
Barbie,US,1987,36.3,73,2008-12-01,9
Beyblade,Japan,1999,4.6,1,2008-12-01,0
Batman,US,1939,29.9,117,2008-12-01,2
Call Of Duty,US,2003,31.0,28,2008-12-01,6
Candy Crush,US,2012,20.0,0,2008-12-01,0
Cars,US,2006,21.5,89,2008-12-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-12-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-12-01,0
Disney Princess,US,2000,45.4,247,2008-12-01,0
Dora The Explorer,US,2000,15.8,67,2008-12-01,0
Dragon Ball,Japan,1984,10.7,50,2008-12-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-12-01,0
Frozen,US,2013,13.9,107,2008-12-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-12-01,0
Gran Turismo,Japan,1997,4.1,52,2008-12-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-12-01,16
Gundam,Japan,1979,5.0,17,2008-12-01,0
Hamtaro,Japan,1997,3.02,3,2008-12-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-12-01,3
Hello Kitty,Japan,1974,33.5,7,2008-12-01,1
James Bond,US,1953,9.75,135,2008-12-01,1
Jurassic Park,US,1990,10.1,106,2008-12-01,0
Kumamon,Japan,2010,2.36,,2008-12-01,0
Looney Tunes,US,1930,17.46,80,2008-12-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-12-01,0
Monster Strike,Japan,2013,10.0,34,2008-12-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-12-01,0
Paw Patrol,US,2013,15.4,95,2008-12-01,0
Pac-Man,Japan,1980,15.43,8,2008-12-01,2
Peanuts,US,1950,14.4,51,2008-12-01,0
Power Rangers,Japan,1975,8.67,61,2008-12-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-12-01,2
Rilakkuma,Japan,2003,10.0,,2008-12-01,0
Sailor Moon,Japan,1991,2.5,16,2008-12-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-12-01,2
Space Invaders,Japan,1978,13.9,46,2008-12-01,0
Spider-Man,US,1962,26.8,107,2008-12-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-12-01,2
Star Trek,US,1966,11.2,106,2008-12-01,1
Star Wars,US,1977,46.7,60,2008-12-01,3
Street Fighter,Japan,1987,10.7,103,2008-12-01,1
Super Mario,Japan,1981,8.75,93,2008-12-01,10
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-12-01,0
Avengers,US,1963,14.3,78,2008-12-01,0
The Lion King,US,1994,15.9,63,2008-12-01,1
Toy Story,US,1995,14.8,40,2008-12-01,0
Ultraman,Japan,1966,7.4,49,2008-12-01,0
Warcraft,US,1994,12.4,51,2008-12-01,22
Yo-kai Watch,Japan,2013,2.09,18,2008-12-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-12-01,0
Angry Birds,US,2009,9.54,76,2009-01-01,0
Anpanman,Japan,1973,38.4,13,2009-01-01,0
Astro Boy,Japan,1952,3.0,32,2009-01-01,0
Barbie,US,1987,36.3,73,2009-01-01,8
Beyblade,Japan,1999,4.6,1,2009-01-01,0
Batman,US,1939,29.9,117,2009-01-01,2
Call Of Duty,US,2003,31.0,28,2009-01-01,5
Candy Crush,US,2012,20.0,0,2009-01-01,0
Cars,US,2006,21.5,89,2009-01-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2009-01-01,0
Despicable Me (Minions),US,2010,12.3,108,2009-01-01,0
Disney Princess,US,2000,45.4,247,2009-01-01,0
Dora The Explorer,US,2000,15.8,67,2009-01-01,0
Dragon Ball,Japan,1984,10.7,50,2009-01-01,4
Fate (Fate/Stay Night),Japan,2004,7.0,29,2009-01-01,0
Frozen,US,2013,13.9,107,2009-01-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2009-01-01,0
Gran Turismo,Japan,1997,4.1,52,2009-01-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2009-01-01,13
Gundam,Japan,1979,5.0,17,2009-01-01,0
Hamtaro,Japan,1997,3.02,3,2009-01-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2009-01-01,2
Hello Kitty,Japan,1974,33.5,7,2009-01-01,1
James Bond,US,1953,9.75,135,2009-01-01,1
Jurassic Park,US,1990,10.1,106,2009-01-01,0
Kumamon,Japan,2010,2.36,,2009-01-01,0
Looney Tunes,US,1930,17.46,80,2009-01-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2009-01-01,0
Monster Strike,Japan,2013,10.0,34,2009-01-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2009-01-01,0
Paw Patrol,US,2013,15.4,95,2009-01-01,0
Pac-Man,Japan,1980,15.43,8,2009-01-01,2
Peanuts,US,1950,14.4,51,2009-01-01,0
Power Rangers,Japan,1975,8.67,61,2009-01-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2009-01-01,2
Rilakkuma,Japan,2003,10.0,,2009-01-01,0
Sailor Moon,Japan,1991,2.5,16,2009-01-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2009-01-01,2
Space Invaders,Japan,1978,13.9,46,2009-01-01,0
Spider-Man,US,1962,26.8,107,2009-01-01,2
Spongebob Squarepants,US,1999,16.6,83,2009-01-01,2
Star Trek,US,1966,11.2,106,2009-01-01,1
Star Wars,US,1977,46.7,60,2009-01-01,2
Street Fighter,Japan,1987,10.7,103,2009-01-01,1
Super Mario,Japan,1981,8.75,93,2009-01-01,10
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2009-01-01,0
Avengers,US,1963,14.3,78,2009-01-01,0
The Lion King,US,1994,15.9,63,2009-01-01,1
Toy Story,US,1995,14.8,40,2009-01-01,0
Ultraman,Japan,1966,7.4,49,2009-01-01,0
Warcraft,US,1994,12.4,51,2009-01-01,20
Yo-kai Watch,Japan,2013,2.09,18,2009-01-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2009-01-01,0
Angry Birds,US,2009,9.54,76,2009-02-01,0
Anpanman,Japan,1973,38.4,13,2009-02-01,0
Astro Boy,Japan,1952,3.0,32,2009-02-01,0
Barbie,US,1987,36.3,73,2009-02-01,8
Beyblade,Japan,1999,4.6,1,2009-02-01,0
Batman,US,1939,29.9,117,2009-02-01,2
Call Of Duty,US,2003,31.0,28,2009-02-01,5
Candy Crush,US,2012,20.0,0,2009-02-01,0
Cars,US,2006,21.5,89,2009-02-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2009-02-01,0
Despicable Me (Minions),US,2010,12.3,108,2009-02-01,0
Disney Princess,US,2000,45.4,247,2009-02-01,0
Dora The Explorer,US,2000,15.8,67,2009-02-01,0
Dragon Ball,Japan,1984,10.7,50,2009-02-01,4
Fate (Fate/Stay Night),Japan,2004,7.0,29,2009-02-01,0
Frozen,US,2013,13.9,107,2009-02-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2009-02-01,0
Gran Turismo,Japan,1997,4.1,52,2009-02-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2009-02-01,11
Gundam,Japan,1979,5.0,17,2009-02-01,0
Hamtaro,Japan,1997,3.02,3,2009-02-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2009-02-01,2
Hello Kitty,Japan,1974,33.5,7,2009-02-01,1
James Bond,US,1953,9.75,135,2009-02-01,1
Jurassic Park,US,1990,10.1,106,2009-02-01,0
Kumamon,Japan,2010,2.36,,2009-02-01,0
Looney Tunes,US,1930,17.46,80,2009-02-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2009-02-01,0
Monster Strike,Japan,2013,10.0,34,2009-02-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2009-02-01,0
Paw Patrol,US,2013,15.4,95,2009-02-01,0
Pac-Man,Japan,1980,15.43,8,2009-02-01,2
Peanuts,US,1950,14.4,51,2009-02-01,0
Power Rangers,Japan,1975,8.67,61,2009-02-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2009-02-01,2
Rilakkuma,Japan,2003,10.0,,2009-02-01,0
Sailor Moon,Japan,1991,2.5,16,2009-02-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2009-02-01,2
Space Invaders,Japan,1978,13.9,46,2009-02-01,0
Spider-Man,US,1962,26.8,107,2009-02-01,2
Spongebob Squarepants,US,1999,16.6,83,2009-02-01,2
Star Trek,US,1966,11.2,106,2009-02-01,1
Star Wars,US,1977,46.7,60,2009-02-01,3
Street Fighter,Japan,1987,10.7,103,2009-02-01,3
Super Mario,Japan,1981,8.75,93,2009-02-01,10
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2009-02-01,0
Avengers,US,1963,14.3,78,2009-02-01,0
The Lion King,US,1994,15.9,63,2009-02-01,1
Toy Story,US,1995,14.8,40,2009-02-01,0
Ultraman,Japan,1966,7.4,49,2009-02-01,0
Warcraft,US,1994,12.4,51,2009-02-01,18
Yo-kai Watch,Japan,2013,2.09,18,2009-02-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2009-02-01,0
Angry Birds,US,2009,9.54,76,2009-03-01,0
Anpanman,Japan,1973,38.4,13,2009-03-01,0
Astro Boy,Japan,1952,3.0,32,2009-03-01,0
Barbie,US,1987,36.3,73,2009-03-01,8
Beyblade,Japan,1999,4.6,1,2009-03-01,0
Batman,US,1939,29.9,117,2009-03-01,2
Call Of Duty,US,2003,31.0,28,2009-03-01,5
Candy Crush,US,2012,20.0,0,2009-03-01,0
Cars,US,2006,21.5,89,2009-03-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2009-03-01,0
Despicable Me (Minions),US,2010,12.3,108,2009-03-01,0
